dataset,subject,num_models,fit_seed,surrogate,surrogate_seed
ds004505,15,1,1,none,0
ds004505,15,1,1,phase,100015
ds004505,15,1,2,none,0
ds004505,15,1,2,phase,100015
ds004505,15,2,0,none,0
ds004505,15,2,0,phase,100015
ds004505,15,2,1,none,0
ds004505,15,2,1,phase,100015
ds004505,15,2,2,none,0
ds004505,15,2,2,phase,100015
ds004505,15,3,0,none,0
ds004505,15,3,0,phase,100015
ds004505,15,3,1,none,0
ds004505,15,3,1,phase,100015
ds004505,15,3,2,none,0
ds004505,15,3,2,phase,100015
ds004505,15,4,0,none,0
ds004505,15,4,0,phase,100015
ds004505,15,4,1,none,0
ds004505,15,4,1,phase,100015
ds004505,15,4,2,none,0
ds004505,15,4,2,phase,100015
ds004505,15,5,0,none,0
