 minimum eigenvalues =   -1.2330348555383841E-007   71889.488818632090        95464.404216036477     
 maximum eigenvalues =    447525089.89036089        193199717.73536611        133678495.32096455     
 num eigs kept =           60
 iter   133 lrate =  1.0000000000 LL =  -5.8688136645 nd =  0.0102614585, D =   0.34329E+01  0.34329E+01  (  3.68 s,   0.4 h)
 iter   134 lrate =  1.0000000000 LL =  -5.8677201450 nd =  0.0106132151, D =   0.34359E+01  0.34359E+01  (  3.68 s,   0.4 h)
 iter   135 lrate =  1.0000000000 LL =  -5.8673181126 nd =  0.0102900503, D =   0.34390E+01  0.34390E+01  (  3.68 s,   0.4 h)
 iter   136 lrate =  1.0000000000 LL =  -5.8662237368 nd =  0.0106535353, D =   0.34420E+01  0.34420E+01  (  3.68 s,   0.4 h)
 iter   137 lrate =  1.0000000000 LL =  -5.8658509981 nd =  0.0103165698, D =   0.34451E+01  0.34451E+01  (  3.68 s,   0.4 h)
 iter   138 lrate =  1.0000000000 LL =  -5.8647595955 nd =  0.0106926687, D =   0.34481E+01  0.34481E+01  (  3.68 s,   0.4 h)
 iter   139 lrate =  1.0000000000 LL =  -5.8644255062 nd =  0.0103394552, D =   0.34512E+01  0.34512E+01  (  3.71 s,   0.4 h)
 iter   140 lrate =  1.0000000000 LL =  -5.8633501171 nd =  0.0107283340, D =   0.34542E+01  0.34542E+01  (  3.70 s,   0.4 h)
 iter   141 lrate =  1.0000000000 LL =  -5.8630735377 nd =  0.0103553811, D =   0.34573E+01  0.34573E+01  (  3.70 s,   0.4 h)
 iter   142 lrate =  1.0000000000 LL =  -5.8620333475 nd =  0.0107569580, D =   0.34603E+01  0.34603E+01  (  3.70 s,   0.4 h)
 iter   143 lrate =  1.0000000000 LL =  -5.8618261606 nd =  0.0103626840, D =   0.34634E+01  0.34634E+01  (  3.69 s,   0.4 h)
 iter   144 lrate =  1.0000000000 LL =  -5.8608079169 nd =  0.0107810840, D =   0.34663E+01  0.34663E+01  (  3.69 s,   0.4 h)
 iter   145 lrate =  1.0000000000 LL =  -5.8606293865 nd =  0.0103703978, D =   0.34695E+01  0.34695E+01  (  3.70 s,   0.4 h)
 iter   146 lrate =  1.0000000000 LL =  -5.8595671292 nd =  0.0108125255, D =   0.34724E+01  0.34724E+01  (  3.70 s,   0.4 h)
 iter   147 lrate =  1.0000000000 LL =  -5.8593681924 nd =  0.0103877716, D =   0.34755E+01  0.34755E+01  (  3.69 s,   0.4 h)
 iter   148 lrate =  1.0000000000 LL =  -5.8582401563 nd =  0.0108534709, D =   0.34785E+01  0.34785E+01  (  3.69 s,   0.4 h)
 iter   149 lrate =  1.0000000000 LL =  -5.8580412464 nd =  0.0104098117, D =   0.34816E+01  0.34816E+01  (  3.69 s,   0.4 h)
 iter   150 lrate =  1.0000000000 LL =  -5.8568779457 nd =  0.0108966859, D =   0.34845E+01  0.34845E+01  (  3.70 s,   0.4 h)
 iter   151 lrate =  1.0000000000 LL =  -5.8567184420 nd =  0.0104292780, D =   0.34877E+01  0.34877E+01  (  3.73 s,   0.4 h)
 iter   152 lrate =  1.0000000000 LL =  -5.8555554473 nd =  0.0109360453, D =   0.34906E+01  0.34906E+01  (  3.69 s,   0.4 h)
 iter   153 lrate =  1.0000000000 LL =  -5.8554729050 nd =  0.0104411917, D =   0.34938E+01  0.34938E+01  (  3.70 s,   0.4 h)
